grade,GPA,lecture,nclicks
2.3951389397134900,1.1341088286410500,6,88
3.6651590579084200,0.9708817461608890,6,96
2.8527500825440600,3.3432349544342400,6,123
1.3597001247426600,2.759576251332280,9,99
2.3133351224758200,1.0222221543244500,4,66
2.5828588202201200,0.8413324176033180,8,99
2.694628042074780,4,5,86
3.05490953442977,2.2949328022531700,7,118
3.210452062076450,3.387484368727830,9,98
2.244190221760430,3.2666344783689400,10,115
3.1338539895986800,2.2291874818663300,6,114
2.2259639176090700,1.7315937231232300,5,84
0,0.4728941368113200,3,95
3.627882542442490,1.5600287002146900,10,123
1.340564609453700,2.7518845039269200,9,115
2.087628903207060,2.001005211644080,5,101
0.43469679304059600,2.1971686863665000,5,84
2.2624222652941800,2.7121565237594500,7,90
0.7232608649661360,2.890436163092900,5,83
3.3532095042676300,1.8096566990232500,8,102
3.865328363135190,3.505622863846350,8,121
2.783484748592590,1.9056690893637800,2,85
3.7018629333789,2.481801354287640,10,87
2.4481795981764100,2.450265275139450,7,81
2.7484218134751900,3.7482459239894000,8,110
1.5854671461891100,2.9709661566544900,9,100
2.4482854155032100,2.910029853828180,10,129
1.741286243549600,0.9462394068937430,6,90
2.930875733522360,2.399373787233700,5,96
2.821016624788220,2.457595409744790,8,129
2.583163990532220,3.0110583670963500,8,118
0.9659023429530370,1.7466985681176000,7,94
2.5080683339278100,3.138766716725820,6,113
3.849963448788580,3.354888054134850,9,122
0.8822342932053550,1.5336613041613800,10,84
3.902430268076410,1.7277751189617500,7,82
3.471220226560060,1.7162994849871200,4,83
2.51156658645997,2.639059290986650,6,112
3.514698782713300,3.329487479500400,7,89
2.8290397469197000,2.653366419561030,9,100
2.7471314947424100,2.856260650984920,4,84
2.7449955515557700,2.9568736499393600,10,102
3.097730101408330,0.3793328316785730,4,111
2.9783205897333600,2.489159094264970,6,96
2.5125859170459500,2.5350624968036400,9,103
2.894494546556010,4,9,77
1.8156094332554000,2.2001744500437100,5,96
3.0011642744615300,2.802160429106290,8,112
3.8528217009801400,2.834772878434490,10,76
2.049631252837900,1.117898887195980,6,81
2.0300626070714000,1.027026640533240,3,99
2.628110785992320,1.8298851161517000,7,106
3.8726751475250100,2.7044881137568600,7,97
3.567827991504740,1.6363599922342200,6,85
3.7235078944430300,1.646152459699490,6,88
2.504512142196290,1.9153413350746100,8,92
1.2359004117215400,3.4497622104634400,9,122
2.9946270677078300,2.953561535033360,7,110
2.3944125437212000,3.753703697580130,6,106
1.4451097805509200,0.9303599407517030,6,83
2.4376733456904600,3.115223663519640,9,95
2.128414297132670,2.3039750776440300,7,119
2.861519660498470,1.7626460589217000,6,99
2.667203667592280,1.5447170902141900,4,54
1.9934927024610100,1.3665324385114800,5,116
2.7596577408662400,2.203213643510760,7,61
3.6984273053345100,1.1520123441170400,7,103
0.9500709825449580,2.1250378042950900,8,96
2.5592971448991300,3.7351341953531600,9,80
3.286187463991610,3.4664206428655400,10,115
2.12227411636179,3.3947098321622200,8,106
2.5400241365754600,1.8211989140415400,7,84
4,2.4929631941691200,10,127
1.4398139450743400,2.6862849797948100,3,109
2.411054313368220,1.4900472020806900,3,92
0,0.4014775813026300,3,67
2.573829310577130,2.952442147760320,6,105
3.1142057177916800,1.8539501374330300,3,79
2.1363495051057300,2.622657074660330,10,106
2.681764077156880,2.2073879949792,8,110
3.334928777239830,1.754349357492220,9,105
1.6988011518988000,2.124653066917610,4,101
1.552616284531880,1.5286636495035300,10,109
2.8019608215968900,2.8027352316080400,7,102
3.3707675781794000,1.698652604947400,7,105
2.2348458809053400,1.4769582417418400,7,80
3.66014573223515,4,8,109
2.732827103735020,3.0817157438421700,10,94
2.268705620593330,3.1470495038519300,6,106
3.993337700937270,2.227278111571680,7,105
2.9514552860040000,2.808266607824170,8,88
3.768071531758270,3.8783316697970800,7,120
3.2473375995293500,2.0760349117468300,5,67
1.7682799939292000,3.3295325021688100,6,84
2.8944518256955300,4,9,102
4,4,9,84
2.773393467746870,3.5680158730703800,7,107
1.6120127582470900,2.3200362264095700,8,94
3.5397356459882500,2.860776517868960,7,108
3.527568724439600,2.8646434102781800,10,109
